meta.code,th
ui.branch.needScene,เปิดฉากก่อน แล้วพิมพ์ทางเลือกในวงเล็บเหลี่ยม เช่น [ไปตลาด]
ui.branch.needTreeView,เปิดมุมมองผังก่อนจึงส่งออกรูปได้
ui.branch.noChoice,ฉากนี้ยังไม่มีทางเลือก — เป็นตอนจบสายหนึ่ง
ui.branch.noDup,ไม่มีทางเลือกซ้ำให้รวม
ui.branch.noFile,ฉากนี้ยังไม่มีไฟล์
ui.branch.noMarker,ไม่พบทางเลือกในฉากนี้ — พิมพ์ [ข้อความ] ตรงจุดที่เรื่องแตกสาย
ui.branch.noMatch,ไม่พบ
ui.branch.noTarget,ทางเลือกนี้ยังไม่ระบุปลายทาง
ui.branch.nodeHelp,คลิก = เลือก · ลาก = ย้ายตำแหน่ง · ดับเบิลคลิก = เปิดฉาก
ui.branch.openBranchToFix,เปิดผังแตกสายเพื่อแก้
ui.branch.openEnd,ยังไม่ระบุปลายทาง
ui.branch.openEndDash,— ยังไม่ระบุ —
ui.branch.openEndParen,(ยังไม่ระบุปลายทาง)
ui.branch.openScene,เปิดฉาก
ui.branch.openSplit,เปิดคู่กับผัง
ui.branch.openSplitHint,เปิดฉากในพื้นที่เขียน โดยยังเห็นผังเป็นแผงข้าง ๆ
ui.branch.pastChoices,เคยเลือกที่ฉากนี้
ui.branch.pathFromStart,เส้นทางจากจุดเริ่มมาที่นี่
ui.branch.pathTrunc,เรื่องแตกสายมากกว่า
ui.branch.pathTruncHint,แสดงเท่าที่ไล่ไหว
ui.branch.paths,เส้นทาง
ui.branch.pathsFrom,เส้นทางจากฉากนี้
ui.branch.pickNode,คลิกกล่องฉากบนผังเพื่อดู/แก้ทางเลือกของฉากนั้น
ui.branch.pickNodeEmpty,ยังไม่มีฉากในผัง — เพิ่มทางเลือกให้ฉากสักฉากก่อน
ui.branch.playFrom,เล่นจากที่นี่
ui.branch.playFromHint,เปิดโหมดทดลองเล่นโดยเริ่มที่ฉากนี้
ui.branch.playHint,ทดลองเล่น — อ่านเรื่องแล้วกดเลือกทางไปเรื่อย ๆ
ui.branch.pngFail,ส่งออก PNG ไม่สำเร็จ: 
ui.branch.pngSaved,บันทึกรูปผังลงคลังรูปแล้ว: 
ui.branch.reading,กำลังอ่านฉาก…
ui.branch.relayout,จัดผังใหม่อัตโนมัติ (ลืมตำแหน่งที่ลากเอง)
ui.branch.relayoutDone,จัดผังใหม่แล้ว
ui.branch.reload,อ่าน scenes.json ใหม่
ui.branch.roleEnd,ตอนจบ
ui.branch.roleEndFull,ตอนจบ (ไม่มีทางเลือกออก)
ui.branch.roleLoop,อยู่ในวงวนซ้ำ
ui.branch.roleLoopShort,วนซ้ำ
ui.branch.roleLost,เดินจากจุดเริ่มมาไม่ถึง
ui.branch.roleLostShort,เข้าไม่ถึง
ui.branch.roleRoot,จุดเริ่ม
ui.branch.scanAsk,ผูกทั้งหมดเป็นทางเลือกเลยไหม (ปลายทางเว้นว่างไว้ก่อน) ?
ui.branch.scanClean,สแกนครบแล้ว — ทุก [ข้อความ] ในฉากถูกผูกเป็นทางเลือกหมดแล้ว
ui.branch.scanDone,ผูกทางเลือกจากข้อความแล้ว
ui.branch.scanFound,พบทางเลือกในข้อความที่ยังไม่ผูก
ui.branch.scanHint,สแกนทุกฉากหา [ข้อความ] ทางเลือกที่ยังไม่ได้ผูก
ui.branch.scanOk,ผูกทั้งหมด
ui.branch.seeAll,ดูทั้งหมด
ui.branch.showSide,แสดงแผงทางเลือก
ui.branch.splitDone,แยกจอแล้ว: ผังซ้าย · ฉากขวา
ui.branch.spots,จุด
ui.branch.steps,ฉาก
ui.branch.sumChoices,ทางเลือก
ui.branch.sumEndings,ตอนจบ
ui.branch.sumRoots,จุดเริ่ม
ui.branch.sumScenes,ฉากในผัง
ui.branch.targetChanged,เปลี่ยนปลายทางแล้ว
ui.branch.textEdited,แก้ข้อความทางเลือกแล้ว
ui.branch.title,ผังแตกสาย
ui.branch.titleFull,ผังแตกสาย (Non-linear)
ui.branch.truncWarn,แสดงแค่
ui.branch.truncWarnTail,"ยังมีมากกว่านี้ กด ""ดูทั้งหมด"""
ui.branch.viewList,รายการ
ui.branch.viewTree,ผัง
ui.branch.walkChoice,เดินตามทางเลือกนี้ (บันทึกลงประวัติการตัดสินใจ)
ui.branch.warnBroken,ทางเลือกชี้ไปฉากที่ไม่มีแล้ว
ui.branch.warnLoop,ฉากอยู่ในวงวนซ้ำ
ui.branch.warnLost,ฉากเดินไปไม่ถึง
ui.branch.warnOpen,ทางเลือกยังไม่ระบุปลายทาง
ui.branch.zoomFit,พอดีจอ
ui.branch.zoomIn,ขยายผัง
ui.branch.zoomOut,ย่อผัง
ui.cantCompare,เปิด 2 ไฟล์ก่อนจึงจะเทียบได้
ui.characters,ตน
ui.cmt.addFail,เพิ่มคอมเมนต์ไม่สำเร็จ
ui.cmt.added,เพิ่มคอมเมนต์แล้ว
ui.cmt.anchorHint,คอมเมนต์ที่เพิ่มจะผูกกับข้อความที่เลือกไว้
ui.cmt.anchorLost,📍✕ (ข้อความถูกลบไปแล้ว) 
ui.cmt.anchorLostHint,ไม่พบข้อความที่คอมเมนต์นี้ผูกไว้แล้ว
ui.cmt.anchorMissing,ไม่พบข้อความที่คอมเมนต์ผูกไว้ (อาจถูกแก้/ลบไปแล้ว)
ui.cmt.anchorOkHint,ชี้เพื่อไฮไลต์ในฉาก · คลิกเพื่อเลื่อนไปหา
ui.cmt.cancel,ยกเลิก
ui.cmt.delete,ลบคอมเมนต์
ui.cmt.deleteConfirm,ลบคอมเมนต์นี้ (พร้อมเธรดตอบกลับทั้งหมด) ?
ui.cmt.deleteHint,ลบคอมเมนต์นี้ (พร้อมเธรดตอบกลับ)
ui.cmt.deleted,ลบคอมเมนต์แล้ว
ui.cmt.edit,แก้ไขข้อความ
ui.cmt.edited, (แก้ไขแล้ว)
ui.cmt.editedDone,แก้ไขคอมเมนต์แล้ว
ui.cmt.emptyAll,(ยังไม่มีคอมเมนต์ในฉากนี้)
ui.cmt.emptyOpen,(ไม่มีคอมเมนต์ที่ยังไม่ปิด)
ui.cmt.filterAll,🔽 ทั้งหมด
ui.cmt.filterHint,สลับกรองคอมเมนต์ที่ปิดเรื่องแล้ว
ui.cmt.filterOpen,🔽 เฉพาะที่ยังไม่ปิด
ui.cmt.needScene,(เปิดฉากก่อนจึงจะคอมเมนต์ได้)
ui.cmt.placeholder,พิมพ์คอมเมนต์…
ui.cmt.placeholderSel,คอมเมนต์เกี่ยวกับข้อความที่เลือก…
ui.cmt.readFail,(อ่านคอมเมนต์ไม่ได้)
ui.cmt.readFailLog,อ่านคอมเมนต์ไม่ได้
ui.cmt.reopen,เปิดเรื่องนี้อีกครั้ง
ui.cmt.reopened,เปิดคอมเมนต์อีกครั้ง
ui.cmt.replied,ตอบกลับแล้ว
ui.cmt.reply,ตอบกลับ
ui.cmt.replyPlaceholder,ตอบกลับ…
ui.cmt.resolve,ปิดเรื่องนี้ (resolve)
ui.cmt.resolved,ปิดเรื่องคอมเมนต์แล้ว
ui.csv.exportTitle,ส่งออกภาษาเป็น CSV
ui.csv.importTitle,นำเข้าภาษาจาก CSV
ui.csv.noKeys,ไม่พบคีย์ในไฟล์ CSV นี้
ui.csv.noLangFiles,ไม่พบไฟล์ภาษา (languages/th.json · en.json)
ui.dialogs.apply,ใช้
ui.dialogs.cancel,ยกเลิก
ui.dialogs.close,ปิด
ui.dialogs.confirm,ยืนยัน
ui.dialogs.copy,คัดลอก
ui.dialogs.delete,ลบ
ui.dialogs.edit,แก้
ui.dialogs.no,ไม่
ui.dialogs.ok,ตกลง
ui.dialogs.openFolder,เปิดโฟลเดอร์
ui.dialogs.refresh,รีเฟรช
ui.dialogs.reset,รีเซ็ต
ui.dialogs.restore,กู้คืน
ui.dialogs.save,บันทึก
ui.dialogs.view,ดู
ui.dialogs.yes,ใช่
ui.errors.aiFailed,คำขอ AI ล้มเหลว
ui.errors.aiNoKey,กรุณาตั้งค่า API Key ในไฟล์ → ตั้งค่า AI
ui.errors.aiSettingsFirst,ตั้งค่า AI ที่ ไฟล์ → ตั้งค่า AI ก่อน
ui.errors.cannotEditLocked,ล็อกฉากแล้ว (แก้ไม่ได้จนปลดล็อก)
ui.errors.fileExists,มีไฟล์ชื่อนี้อยู่แล้ว
ui.errors.invalidJSON,JSON ไม่ถูกต้อง
ui.errors.languageNotFound,"ไม่พบภาษา ""%s"" ใช้ภาษาอังกฤษแทน"
ui.errors.loadFailed,โหลดไม่สำเร็จ
ui.errors.moveCrossDraft,ย้ายข้ามฉบับร่างยังไม่รองรับ
ui.errors.nameRequired,ต้องตั้งชื่อ
ui.errors.needScene,เปิดฉากก่อน
ui.errors.noChapters,ยังไม่มีบท
ui.errors.noDraft,ยังไม่มีฉบับร่าง
ui.errors.noFile,ไม่พบไฟล์
ui.errors.noOpenProject,ยังไม่ได้เปิดโปรเจกต์
ui.errors.noOtherChapter,ไม่มีบทอื่นให้ย้ายไป
ui.errors.noProject,ยังไม่ได้เปิดโปรเจกต์
ui.errors.noScenes,ยังไม่มีฉาก
ui.errors.notKillianProject,โฟลเดอร์นี้ไม่ใช่โปรเจกต์ Killian (ไม่พบ project.khn.json)
ui.errors.openProjectFirst,เปิดโปรเจกต์ก่อนจึงจะตั้งค่าได้
ui.errors.pressShortcut,กดปุ่มลัด…
ui.errors.requiresCtrl,ต้องมี Ctrl/⌘
ui.errors.saveFailed,บันทึกไม่สำเร็จ
ui.filterCommands,🔍 กรองคำสั่ง…
ui.home.close,✕ ปิด
ui.home.export,📤 ส่งออก
ui.home.import,📥 นำเข้า
ui.home.importDone,นำเข้าโปรเจกต์แล้ว
ui.home.newProject,➕ สร้างโปรเจกต์ใหม่
ui.home.openProject,📂 เปิดโปรเจกต์
ui.imp.chapters,บท: 
ui.imp.failed,นำเข้าไม่สำเร็จ: 
ui.imp.filesToCreate,ไฟล์ที่จะสร้าง: 
ui.imp.overwrite,โฟลเดอร์ปลายทางมีโปรเจกต์อยู่แล้ว — เขียนทับไหม?
ui.imp.projectName,ชื่อโปรเจกต์: 
ui.imp.scenes,   ·  ฉาก: 
ui.imp.untitled,(ไม่มีชื่อ)
ui.imp.warnPrefix,⚠ คำเตือน 
ui.imp.warnSuffix, รายการ (ดูใน Log)
ui.imp.working,กำลังนำเข้า…
ui.kanban.deleteColumn,ลบคอลัมน์
ui.kanban.moveScenesFirst,ย้ายฉากออกจากคอลัมน์นี้ก่อน
ui.kanban.newColumn,ชื่อคอลัมน์ใหม่
ui.kanban.newColumnHint,เช่น รอรีวิว
ui.kanban.sceneNotFound,ไม่พบไฟล์ฉาก: 
ui.locations,ที่
ui.maps.notPlaced,ยังไม่ได้ปักตำแหน่ง
ui.maps.placeIt,ไปปักตำแหน่ง
ui.maps.placeItHint,"เปิดแผงผังพื้นที่ แล้วกด ""ปักตำแหน่งฉากนี้"""
ui.maps.sceneWhere,ตำแหน่งบนแผนที่
ui.maps.showOnMap,ดูบนแผนที่
ui.maps.showOnMapHint,เปิดแผงแผนที่แล้วเลื่อนไปที่ตำแหน่งของฉากนี้
ui.md.codesOff,ซ่อนรหัสนำหน้าบรรทัด: ปิด (เห็นรหัสครบ)
ui.md.codesOn,ซ่อนรหัสนำหน้าบรรทัด: เปิด
ui.md.codesTitle,ซ่อนรหัสนำหน้าบรรทัด (. @ > $shot # …)
ui.menu.ai,AI
ui.menu.edit,แก้ไข
ui.menu.file,ไฟล์
ui.menu.format,รูปแบบ
ui.menu.help,ช่วยเหลือ
ui.menu.script,บท
ui.menu.view,มุมมอง
ui.noDraftToExport,ยังไม่มีฉบับร่างให้ส่งออก
ui.openSceneFirst,เปิดฉากก่อนจึงจะดู Markdown ได้
ui.openSceneFirstSwitch,เปิดฉากก่อนจึงจะสลับโหมดได้
ui.panel.aiAnalyzerTitle,🧠 AI วิเคราะห์
ui.panel.aiChatTitle,💬 AI ผู้ช่วยเขียน
ui.panel.archiveToggle,ซ่อน/แสดงฉากที่เก็บถาวร
ui.panel.beatsToggle,แสดง/ซ่อนย่อหน้า
ui.panel.beforeRestore,ก่อนกู้คืน
ui.panel.booksTitle,จัดการเล่ม
ui.panel.branchTitle,🌿 ผังแตกสาย
ui.panel.changelogNotFound,ไม่พบไฟล์ changelog
ui.panel.changelogTitle,บันทึกการเปลี่ยนแปลง — Killian 2
ui.panel.chooseVersion,เลือกเวอร์ชันเพื่อดูตัวอย่าง
ui.panel.closePanel,ปิดแผง (เปิดกลับที่เมนู มุมมอง → แผง)
ui.panel.codexTitle,📚 สารานุกรม
ui.panel.collapse,ย่อ/ขยายแผง
ui.panel.commentsTitle,คอมเมนต์
ui.panel.confirmDelete,ลบเวอร์ชันนี้?
ui.panel.confirmDeleteEntity,"ลบ ""%s"" ถาวร ? (กู้คืนไม่ได้อีก)"
ui.panel.confirmDeleteFolder,"ลบโฟลเดอร์ ""%s"" ทั้งหมด ?"
ui.panel.confirmDeleteStatus,"ลบสถานะ ""%s"" ?"
ui.panel.confirmDeleteTemplate,"ลบเทมเพลต ""%s""?"
ui.panel.confirmDeleteWorkflow,"ลบเวิร์กโฟลว์ ""%s"" ?"
ui.panel.confirmRestore,กู้คืนเวอร์ชันนี้ทับของปัจจุบัน?
ui.panel.dashboardTitle,แดชบอร์ด
ui.panel.desc_ai_analyzer,ชุดเครื่องมือวิเคราะห์ต้นฉบับด้วย AI — จังหวะเรื่อง · ส่วนโค้งตัวละคร · คำซ้ำ · ความขัดแย้ง · ความยาวฉาก (ยังเป็นตัวอย่างหน้าตา)
ui.panel.desc_books,จัดการเล่มและฉบับร่าง — ปก · คำโปรย · สถานะ · สถิติรายเล่ม · ลากสลับลำดับเล่ม
ui.panel.desc_branch,ผังเรื่องแบบแตกสาย — กล่องฉากต่อกันด้วยเส้นทางเลือก · ลากย้ายการ์ดได้ · เลือกสีการ์ด/เส้นได้ · เตือนทางตัน วงวนซ้ำ และทางเลือกที่ยังไม่ระบุปลายทาง · ส่งออกเป็น HTML/Markdown/JSON/รูปได้
ui.panel.desc_comments,คอมเมนต์ของฉากที่เปิดอยู่ — ตอบกลับเป็นเธรด ปิดงานได้ · เก็บท้ายไฟล์ .md จึงติดไปกับไฟล์เสมอ
ui.panel.desc_dashboard,ภาพรวมความคืบหน้า — จำนวนคำเทียบเป้าหมาย · สัดส่วนฉากตามสถานะ · ความยาวของแต่ละบท
ui.panel.desc_docs,พื้นที่เขียนหลัก — แท็บทุกใบที่เปิดอยู่ ทั้งฉาก บทภาพยนตร์ และหน้า Wiki (ปิดไม่ได้)
ui.panel.desc_gallery,รูปทั้งหมดในโฟลเดอร์ Images ของโปรเจกต์ — ลากลงเอกสารเพื่อแทรก หรือเลือกเป็นปก/รูปประจำตัวใน Wiki
ui.panel.desc_kanban,กระดานฉากเรียงตามสถานะ — ลากการ์ดข้ามคอลัมน์เพื่อเปลี่ยนสถานะฉากนั้นทันที
ui.panel.desc_log,บันทึกการทำงานของโปรแกรม — ใช้ตอนหาสาเหตุเมื่อมีอะไรไม่เป็นอย่างที่คาด
ui.panel.desc_maps,แผนที่ของโลกในเรื่อง — ปักหมุดบนรูป เชื่อมหมุดเข้ากับฉาก/สถานที่ · หมุดประตูพาลงไปแผนที่ย่อยได้
ui.panel.desc_notes,ที่จดความคิดชั่วคราวโดยไม่ปนต้นฉบับ — โน้ตผูกกับฉากที่เปิดอยู่ตอนจด
ui.panel.desc_outline,"เค้าโครงหัวข้อของ ""ไฟล์ที่เปิดอยู่"" — คลิกหัวข้อเพื่อกระโดดไปตำแหน่งนั้นในเอกสาร"
ui.panel.desc_player,อ่านเรื่องแบบผู้เล่น — เนื้อฉากอ่านอย่างเดียว แล้วกดปุ่มทางเลือกเดินต่อไปเรื่อย ๆ · ย้อนกลับได้ · เก็บเส้นทางแต่ละรอบไว้ดูย้อนหลัง
ui.panel.desc_props,คุณสมบัติของฉากที่เลือก — เรื่องย่อ · มุมมอง · อารมณ์ · ความขัดแย้ง · สถานะ · สี · แท็ก · บันทึกอัตโนมัติขณะพิมพ์
ui.panel.desc_search,ค้นข้อความทั้งโปรเจกต์ — ทุกฉาก ทุกเล่ม และหน้า Wiki · คลิกผลลัพธ์เพื่อเปิดไฟล์ที่บรรทัดนั้น
ui.panel.desc_statusbar,ข้อมูลย่อของงานที่เปิดอยู่ — จำนวนคำ/หน้า · ข้อผิดพลาดในบท · แถบซูมหน้ากระดาษ
ui.panel.desc_timeline,"ลำดับเหตุการณ์ตาม ""เวลาในเรื่อง"" — สลับมุมมองการ์ด/Gantt ได้ · ฉากที่ตั้ง storyDate ไว้จะขึ้นเอง"
