meta.code,en
ui.aia.aiOffHint,Showing the computed layer only (AI is off or not configured).
ui.aia.aiSettings,AI settings
ui.aia.aiSettingsTip,Open the AI provider settings without going through the settings menu
ui.aia.analyzePaceStory,Story pacing analysis
ui.aia.arcGap,Absent
ui.aia.arcHead,{0} — {1} mentions across {2} {2|scene|scenes}
ui.aia.busy,Analysing…
ui.aia.cmpBalanced,Balanced
ui.aia.cmpDialogue,Dialogue
ui.aia.cmpInteriority,Interiority
ui.aia.cmpLeanN,leads in {0} {0|scene|scenes}
ui.aia.cmpNarration,Narration
ui.aia.cmpOverall,Overall
ui.aia.confirmDelSession,Delete session “{0}”?
ui.aia.crCast,Cast balance
ui.aia.crCastNote,{0} {0|character|characters} · lead takes {1}%
ui.aia.crConflict,Conflict
ui.aia.crConflictNote,{0} {0|scene|scenes} show no conflict markers
ui.aia.crDialogue,Dialogue balance
ui.aia.crDialogueNote,Dialogue averages {0}% of scene text
ui.aia.crLanguage,Prose cleanliness
ui.aia.crLanguageNote,{0} close {0|repeat|repeats} found
ui.aia.crPacing,Pacing
ui.aia.crPacingNote,Avg tempo {0} · {1} slow {1|run|runs}
ui.aia.crSceneLen,Scene-length consistency
ui.aia.crSceneLenNote,Mean {0} {0|word|words} · sd {1}
ui.aia.csAdjust,Adjust
ui.aia.csAnalysis,Analysis
ui.aia.csAvgSent,Avg sentence (words)
ui.aia.csChapter,Chapter
ui.aia.csCharacter,Character
ui.aia.csClosest,Closest gap (words)
ui.aia.csComedy,Comedy/1k words
ui.aia.csCostUsd,Cost (USD)
ui.aia.csCount,Count
ui.aia.csCreated,Created
ui.aia.csCriterion,Criterion
ui.aia.csDensity,Per 1k words
ui.aia.csDetail,Detail
ui.aia.csDialogue,Dialogue %
ui.aia.csDrag,Drag
ui.aia.csDrama,Drama/1k words
ui.aia.csExpected,Usual
ui.aia.csFound,Found
ui.aia.csLines,Lines
ui.aia.csMarkers,Markers
ui.aia.csMentions,Mentions
ui.aia.csMinutes,Minutes
ui.aia.csNarration,Longest narration (words)
ui.aia.csNote,Note
ui.aia.csOdd,Shifts
ui.aia.csPages,Pages
ui.aia.csParticle,Usual particle
ui.aia.csPer10k,Per 10k
ui.aia.csPronoun,Usual pronoun
ui.aia.csQuote,Quote
ui.aia.csReason,Reason
ui.aia.csScene,Scene
ui.aia.csScope,Scope
ui.aia.csScore,Score
ui.aia.csSession,Session
ui.aia.csSeverity,Severity
ui.aia.csShare,Share %
ui.aia.csSharedScenes,Shared scenes
ui.aia.csSideA,Character A
ui.aia.csSideB,Character B
ui.aia.csSpeaker,Speaker
ui.aia.csStat,Statistic
ui.aia.csSuggestion,Suggestion
ui.aia.csSummary,Summary
ui.aia.csTempo,Tempo
ui.aia.csTitle,Title
ui.aia.csTokenUsed,Tokens used
ui.aia.csTone,Tone
ui.aia.csValue,Value
ui.aia.csvSaved,CSV saved to {0}
ui.aia.csWord,Word
ui.aia.csWords,Words
ui.aia.dArc,"How often each character appears per chapter, and where they disappear."
ui.aia.dComposition,"How much of each scene is dialogue, interiority and narration — and which way it leans"
ui.aia.dConflict,Which scenes carry conflict and which are flat.
ui.aia.dContinuity,Whether character and world details stay consistent across the chosen scope.
ui.aia.dDialog,"Finds speeches that run too long, written language in characters' mouths, as-you-know exposition and constant name-calling."
ui.aia.dDrag,"Scores drag per scene from tempo, conflict, length and long unbroken narration."
ui.aia.dgArc,{0}: mentioned {1} {1|time|times} across {2} {2|scene|scenes}
ui.aia.dgArcGap, · absent: {0}
ui.aia.dgComposition,{0} [{1}] dialogue={2}% interiority={3}% narration={4}% → {5}
ui.aia.dgConflict,{0} [{1}] no conflict marker found
ui.aia.dgDialog,{0} [{1}] speaker={2} · {3}: “{4}”
ui.aia.dgDrag,{0} [{1}] drag={2} tempo={3} longest narration={4} {4|word|words} · {5}
ui.aia.dgLength,{0} [{1}] {2} {2|word|words} ({3} min)
ui.aia.dgLogic,{0} [{1}] markers: {2} · “{3}”
ui.aia.dgNote,{0} [{1}] {2}
ui.aia.dgOocChar,{0}: {1} {1|line|lines} · usual pronoun={2} · usual particle={3}
ui.aia.dgOocOdd,{0} in {1} [{2}] uses “{3}” instead of “{4}”: “{5}”
ui.aia.dgPacing,{0} [{1}] tempo={2} dialogue={3}% {4} {4|word|words}
ui.aia.dgRepeat,"“{0}” ×{1} in {2} [{3}], closest {4} {4|word|words} apart"
ui.aia.dgScore,{0}: {1}/10 — {2}
ui.aia.dgScreentime,{0}: {1} {1|scene|scenes} · {2} {2|mention|mentions} · {3}%
ui.aia.dgShipping,{0} × {1}: {2} shared {2|scene|scenes} · score {3}
ui.aia.dgTone,{0} [{1}] tone={2} comedy={3}/1k drama={4}/1k
ui.aia.dgWords,{0} ×{1} ({2} per 10k)
ui.aia.dLength,"Scene length against the median, with estimated reading time."
ui.aia.dlgR.exposition,as-you-know
ui.aia.dlgR.long,too long
ui.aia.dlgR.vocative,name-calling
ui.aia.dlgR.written,written style
ui.aia.dlgVocNote,Names the other person in {0} of {1} {1|line|lines} in this scene
ui.aia.dLogic,"Finds events driven by coincidence or luck, decisions without motivation, and cause-and-effect that doesn't connect."
ui.aia.done,done
ui.aia.dOoc,Compares each character's behaviour and voice with their Wiki profile and with themselves in other scenes (shifts in pronouns and particles).
ui.aia.dPacing,"Which scenes drag and which rush — from dialogue share, sentence length and scene length."
ui.aia.dPlotHole,"Contradictions, threads left open, and missing motivation."
ui.aia.dragR.long,longer than usual
ui.aia.dragR.narration,long unbroken narration
ui.aia.dragR.noConflict,no sign of conflict
ui.aia.dragR.slow,slower than average
ui.aia.dRepeat,The same word reappearing close enough to trip the reader.
ui.aia.dScore,Two layers: a metric score and an AI reading.
ui.aia.dScreentime,"Who takes up the page, by scenes present and mentions."
ui.aia.dShipping,Character pairs that share the most scenes and romantic weight.
ui.aia.dTone,"Shows which scenes stray from the intended tone, where to add or cut comedy/drama, and where the mood swings too hard."
ui.aia.dWords,Most-used words with a per-10k rate (stopwords and character names removed).
ui.aia.errAiFail,The AI call failed
ui.aia.errCsv,Could not write the CSV file
ui.aia.errNoScene,No scenes in the chosen scope
ui.aia.errNothingToExport,Nothing to export yet — run an analysis first
ui.aia.errNothingToSave,Nothing to save yet — run an analysis first
ui.aia.errOpenScene,Could not open the scene from the analyzer panel
ui.aia.errRun,Analysis failed
ui.aia.errSessionDel,Could not delete the session
ui.aia.errSessionRead,Could not read session file: 
ui.aia.errSessionSave,Could not save the session
ui.aia.errUnknownKind,Unknown analysis type
ui.aia.estAll,All 11 kinds ≈ {0} {0|token|tokens} · {1}
ui.aia.estOff,AI is off — nothing will be charged
ui.aia.estTip,Estimate before calling the AI — scene text + instructions + reply cap
ui.aia.estTokens,≈ {0} {0|token|tokens} · {1}
ui.aia.exportCsv,Export CSV
ui.aia.exportCsvOne,Export this analysis as CSV
ui.aia.exportCsvTip,Export every result in this scope as CSV (opens in Excel/Sheets)
ui.aia.fastRun,Fast run
ui.aia.groupDoctor,Script doctor
ui.aia.groupDoctorDesc,"These numbers are signals worth a look, not verdicts — turn on AI to have the model read the real context and judge."
ui.aia.groupStats,Overview analyses
ui.aia.lead,"Eleven ways to analyse the manuscript, scoped to the whole project, one book, one chapter or one scene. Every one computes locally; AI adds a reading on top when configured."
ui.aia.longScene,Scene length
ui.aia.noMarker,No markers
ui.aia.noProject,No project open
ui.aia.noSignal,No signals in this scope
ui.aia.noteCharOnce,Appears once in the whole scope — deliberate or dropped?
ui.aia.noteNoPov,No POV set
ui.aia.nScene, · {0} {0|scene|scenes}
ui.aia.oocHabit,usual: {0} · {1}
ui.aia.oocNoProfile,no profile
ui.aia.oocShift,uses “{0}” instead of “{1}”
ui.aia.partCurveCharacter,Character arcs
ui.aia.pFormatDoctor,"Answer format: a JSON array of {""title"":""short title"",""detail"":""what is wrong"",""severity"":""critical|major|minor"",""sceneId"":""scene id"",""quote"":""the original line at fault (short)"",""character"":""character name if relevant"",""suggestion"":""the fix or a rewritten example""}"
ui.aia.pFormatFindings,"Answer format: a JSON array of {""title"":""short title"",""detail"":""explanation"",""severity"":""critical|major|minor"",""sceneId"":""scene id if any"",""suggestion"":""what to do""}"
ui.aia.pFormatScore,"Answer format: a JSON object {""criteria"":[{""label"":""criterion"",""score"":0-10,""note"":""one-line reason""}],""total"":0-10,""summary"":""one paragraph""}"
ui.aia.pFormatTone,"Answer format: a JSON array of {""title"":""short title"",""detail"":""how it strays from the tone"",""severity"":""critical|major|minor"",""sceneId"":""scene id"",""adjust"":""more-comedy|less-comedy|more-drama|less-drama|keep"",""quote"":""the line at fault (if any)"",""suggestion"":""how to adjust""}"
ui.aia.pHeadNumbers,Numbers already counted by the app (treat as correct; do not recount):
ui.aia.pHeadProfiles,Character profiles from the Wiki (treat as established traits):
ui.aia.pHeadScenes,Scene text:
ui.aia.pHeadScope,Scope: 
ui.aia.pHeadTask,Task: 
ui.aia.pNoProfiles,(No character profiles in the Wiki — compare each character with their own behaviour in other scenes instead.)
ui.aia.pRules,"Rules: cite only what appears above or in the attached scenes · include the exact sceneId when you refer to a scene · be concise and specific · if there is nothing to report, answer with an empty array []."
ui.aia.pToneAuto,"not specified — first judge the main tone from the whole story, then hold it as the target"
ui.aia.pToneTarget,Intended tone: 
ui.aia.pTruncated, (partial — over the token budget)
ui.aia.reload,Reload
ui.aia.rowLength,{0} {0|word|words} · {1} min
ui.aia.rowPacing,{0} {0|word|words} · {1}% dialogue · {2} {2|word|words}/sentence
ui.aia.rowRepeat,{0} · closest {1} {1|word|words} apart
ui.aia.rowScreentime,{0} {0|scene|scenes} · {1} {1|mention|mentions}
ui.aia.rowShip,{0} shared {0|scene|scenes} · {1} {1|mention|mentions}
ui.aia.run,Analyze
ui.aia.runAll,Run all
ui.aia.runRange,{0} → {1} · {2} in a row
ui.aia.scopeBook,This book
ui.aia.scopeChapter,This chapter
ui.aia.scopeProject,Whole project
ui.aia.scopeScene,This scene
ui.aia.scoreAiHead,AI score
ui.aia.scoreLocalHead,Metric score
ui.aia.sessionAuto,Analysis of {0}
ui.aia.sessionCost,{0} {0|token|tokens} · ${1}
ui.aia.sessionCurrent,Open session: {0}
ui.aia.sessionDeleted,Deleted session “{0}”
ui.aia.sessionEmpty,No sessions saved in this project yet
ui.aia.sessionKinds,{0} {0|kind|kinds}
ui.aia.sessionList,Sessions
ui.aia.sessionListTip,Open a session saved in this project
ui.aia.sessionOpen,Open
ui.aia.sessionOpened,Opened session “{0}”
ui.aia.sessionSave,Save session
ui.aia.sessionSaved,Saved session “{0}”
ui.aia.sessionSaveTip,Store the results for this scope inside the project (Analysis folder)
ui.aia.sessionSaveTitle,Name this session
ui.aia.sessionTitle,Analysis sessions
ui.aia.slowRun,Slow run
ui.aia.stAvgWordScene,Avg words / scene
ui.aia.stChapter,Chapters
ui.aia.stCharAppear,Characters seen
ui.aia.stCharGap,Characters with gaps
ui.aia.stCharOnce,One-shot characters
ui.aia.stCmpLean,Leans toward
ui.aia.stConflictDensity,Markers per 1k words
ui.aia.stDialogueAvg,Avg dialogue
ui.aia.stDlgExpo,As-you-know lines
ui.aia.stDlgLines,Dialogue lines
ui.aia.stDlgLong,Overlong lines
ui.aia.stDlgVoc,Scenes heavy on name-calling
ui.aia.stDlgWritten,Written-style speech
ui.aia.stDragAvg,Average drag
ui.aia.stDragNarr,Longest narration (words)
ui.aia.stDragRuns,Slow stretches
ui.aia.stDragScenes,Scenes at risk of dragging
ui.aia.stFastRun,Fast runs
ui.aia.stHasStoryDate,Scenes with story date
ui.aia.stLead,Lead
ui.aia.stLeadShare,Lead share
ui.aia.stLogicHits,Coincidences / shortcuts
ui.aia.stLogicLate,In the last quarter
ui.aia.stLogicScenes,Scenes found
ui.aia.stMedian,Median
ui.aia.stNoConflict,Scenes with none
ui.aia.stNoPov,Scenes without POV
ui.aia.stOocOdd,Voice shifts
ui.aia.stOocProfile,With a Wiki profile
ui.aia.stOocSpeakers,Characters who speak
ui.aia.stPairFound,Pairs found
ui.aia.stReadTime,Total reading time
ui.aia.stRepeatFound,Repeats found
ui.aia.stRichWord,Lexical variety
ui.aia.stRomanceWord,Romance cues
ui.aia.stSceneAffected,Scenes affected
ui.aia.stSceneHasConflict,Scenes with conflict
ui.aia.stScoreLocal,Metric score
ui.aia.stSilentChar,Never mentioned
ui.aia.stSlowRun,Slow runs
ui.aia.stTempoAvg,Avg tempo
ui.aia.stToneOff,Off-tone scenes
ui.aia.stToneOverall,Overall tone
ui.aia.stToneTarget,Intended tone
ui.aia.stToneWhip,Tonal whiplash
ui.aia.stTooLong,Outlier-long scenes
ui.aia.stTopPair,Strongest pair
ui.aia.stUniqueWord,Unique words
ui.aia.stWindow,Proximity window
ui.aia.sysEditor,"You are a meticulous, blunt manuscript editor. Analyse only what appears in the material given; never invent events or details. Answer with JSON only, nothing outside the JSON."
ui.aia.tagNeedAI,needs AI
ui.aia.taskArc,"From each character’s appearances, say whose arc breaks, who vanishes for too long, and who shows no development."
ui.aia.taskComposition,"Read the per-scene split of dialogue/interiority/narration. Say which scenes lean so far that pacing or emotion suffers, where to add dialogue or the character's inner thoughts, and whether the overall balance suits the genre."
ui.aia.taskConflict,"Judge whether each scene has real conflict: who wants what, who blocks it, and which scenes need more friction."
ui.aia.taskContinuity,"Check whether character and world details (names, traits, abilities, rules) stay consistent or contradict."
ui.aia.taskDialog,Read the dialogue in the attached scenes and point out where it sounds unnatural: speech that reads like prose or written language · explaining what the other person already knows just to inform the reader · every character sharing one voice · answers so on-the-nose there is no subtext · constant name-calling · lines too long to be spoken in that moment. Start from the signals above but judge by real context. Put the original line in quote and a more natural rewrite in suggestion.
ui.aia.taskDrag,"Judge where the storytelling drags: scenes where nothing changes (situation, relationship, new information) · long narration with no drive · scenes that repeat the job of an earlier one · stretches where a reader might put the book down. Start from the drag scores above; say clearly what to cut, merge, compress or sharpen with conflict, and quote a line that could go."
ui.aia.taskLength,"From scene lengths, say which to split, which are too short to land, and whether the breathing room is right."
ui.aia.taskLogic,Check whether the plot holds together logically: events caused by coincidence or luck instead of a character's action · decisions with no motivation behind them · characters knowing what they couldn't know · broken world rules · outcomes that don't follow from earlier causes · knots untied too easily. Say what will bother the reader and propose the setup or motivation that makes it believable.
ui.aia.taskOoc,"Check whether characters act out of character: compare their words, actions, decisions and voice (pronouns, particles, register) with their Wiki profile and with themselves in other scenes. Separate ""out of character"" from ""development that is earned"". Put the character's name in character, the line in quote, and a fix — or the setup scene the change still needs — in suggestion."
ui.aia.taskPacing,"Read the per-scene tempo numbers and say where the story drags, where it rushes, and what to cut or expand."
ui.aia.taskPlotHole,"Find self-contradictions, threads opened and never closed, missing motivation, and timeline clashes."
ui.aia.taskRepeat,"From the close-repeat list, say which really grate and suggest replacements that fit the voice."
ui.aia.taskScore,"Score the manuscript per criterion (opening, pacing, characters, dialogue, prose, hook) 0-10 each, with a one-line reason."
ui.aia.taskScreentime,"From the screentime split, say whether the distribution suits this story, and who needs more or less room."
ui.aia.taskShipping,"Assess the chemistry of the pairs found: which carry real weight, which still lack the scene that sells it."
ui.aia.taskTone,Assess the tone against the intended tone: scenes so jokey they undercut the drama · scenes so heavy they break a light story · mood swings with no breathing scene between · jokes that don't fit the moment. Put the direction to adjust in adjust (more-comedy / less-comedy / more-drama / less-drama / keep) and a practical way to do it in suggestion.
ui.aia.taskWords,"From the frequent words, say which are author tics to trim and which genuinely carry the theme."
ui.aia.tComposition,Scene composition (dialogue/interiority/narration)
ui.aia.tContinuity,Continuity check
ui.aia.tDialog,Unnatural dialogue
ui.aia.tDrag,Does the pacing drag?
ui.aia.tLogic,Plot logic
ui.aia.toneAuto,Auto (from the whole story)
ui.aia.toneAutoShort,Unclear
ui.aia.toneComedy,Comedy
ui.aia.toneDrama,Drama
ui.aia.toneDramedy,Dramedy
ui.aia.toneMixed,Mixed
ui.aia.toneNeutral,Neutral
ui.aia.toneSerious,Serious
ui.aia.toneTargetLabel,Intended tone
ui.aia.toneWhip,sharp swing from the previous scene
ui.aia.tOoc,Out of character
ui.aia.tPlotHole,Plot holes
ui.aia.tRepeat,Repeated words
ui.aia.truncated,Too long for one request — the AI saw only part of it. Narrow the scope for a closer read.
ui.aia.tScore,Score
ui.aia.tScreentime,Screentime / character weight
ui.aia.tShipping,Shipping / love interest
ui.aia.tTone,Tone (comedy/drama)
ui.aia.unitMin, min
ui.aia.unitWord, words
ui.aia.usage,{0} {0|token|tokens} · about ${1}
ui.aia.useAI,Use AI
ui.aia.usedNone,No AI calls in this scope yet
ui.aia.usedSoFar,Used {0} {0|call|calls} · {1} {1|token|tokens} · {2}
ui.aia.wiki,Wiki entities
ui.aia.wordUse,Frequent words
ui.aiActions.addChapterDone,"Added chapter ""{0}"" to ""{1}"""
ui.aiActions.aIEditProjectDone,AI edited the project — lists refreshed
ui.aiActions.badCat,Invalid category name: {0}
ui.aiActions.bookHasChapter,"This book already has a chapter ""{0}"""
ui.aiActions.changeNameChapterDone,"Renamed the chapter to ""{0}"" (the folder keeps its old name, so links in the manuscript don't break)"
ui.aiActions.changeNameSceneDone,"Renamed the scene to ""{0}"""
ui.aiActions.chapterHasScene,"This chapter already has a scene ""{0}"""
ui.aiActions.delChapterSceneTrash,"Moved chapter ""{0}"" ({1} {1|scene|scenes}) to the trash"
ui.aiActions.delSceneTrashDone,"Moved scene ""{0}"" to the trash"
ui.aiActions.dirOpenUnsaved,Did not delete {0} — it has open tabs that could not be saved
ui.aiActions.editDone,"Edited ""{0}"""
ui.aiActions.entityOpenDirty,"Wiki page ""{0}"" is open with unsaved edits — save it first, then ask again"
ui.aiActions.hasUseEntityUpdate,"""{0}"" already exists — use entity.update instead"
ui.aiActions.lockBook,its book is locked
ui.aiActions.lockChapter,its chapter is locked
ui.aiActions.locked,"""{0}"" is locked ({1}) — the AI can't edit, rename or delete it until it's unlocked"
ui.aiActions.lockScene,the scene is locked
ui.aiActions.mapDigestDone,Read every map position
ui.aiActions.mapWhereDone,"Read where ""{0}"" is"
ui.aiActions.moveBookTrashDone,"Moved book ""{0}"" to the trash"
ui.aiActions.moveTrashDone,"Moved ""{0}"" to the trash"
ui.aiActions.newBookReadyChapter,"Created book ""{0}"" with a first chapter"
ui.aiActions.newCatDone,"Created ""{0}"" in category {1}"
ui.aiActions.newSceneDone,"Created scene ""{0}"" in ""{1} › {2}"""
ui.aiActions.noMapPins,This project has no pins or zones on any map yet
ui.aiActions.notFound,"Entity ""{0}"" not found"
ui.aiActions.notFoundBook,Book not found
ui.aiActions.notFoundBook2,"Book ""{0}"" not found"
ui.aiActions.notFoundChapter,"Chapter ""{0}"" not found"
ui.aiActions.notFoundScene,"Scene ""{0}"" not found"
ui.aiActions.notFoundSceneNew,"Scene ""{0}"" not found — create it first with scene.create"
ui.aiActions.notHasBookProject,The project has no books yet — create one with book.create first
ui.aiActions.notKnownCmd,Unknown command
ui.aiActions.openTabUnsaved,"This scene is open with unsaved edits, so the text was written into the tab (not saved to the file yet)"
ui.aiActions.outsideProject,This name points outside the project — nothing was written
ui.aiActions.readDone,"Read ""{0}"""
ui.aiActions.readSceneDone,"Read scene ""{0}"""
ui.aiActions.readStructureDone,Read the structure
ui.aiActions.sceneDoneMergeChar,"{0} scene ""{1}"" ({2} {2|character|characters} in total)"
ui.aiActions.sceneOpenUnsaved,Did not delete {0} — the scene has unsaved changes that could not be saved
ui.aiActions.writeNext,Continue writing
ui.aiAgent.add,Add agent
ui.aiAgent.addFileRef,From .txt file
ui.aiAgent.addTextRef,Type / paste
ui.aiAgent.addTitle,Add writing agent
ui.aiAgent.agents,Agents — writing personas
ui.aiAgent.agentsHint,"Used by ""Rewrite this"" (select text in a document → right-click) to set the writing direction"
ui.aiAgent.confirmDelete,"Delete agent ""{0}""?"
ui.aiAgent.delete,Delete agent
ui.aiAgent.editTitle,Edit writing agent
ui.aiAgent.empty,No agents yet — press Add agent
ui.aiAgent.insertTemplate,Insert template
ui.aiAgent.kindText,Typed
ui.aiAgent.moveDown,Move down
ui.aiAgent.moveUp,Move up
ui.aiAgent.name,Agent name
ui.aiAgent.namePh,e.g. Grimdark fantasy writer
ui.aiAgent.needName,Enter an agent name first
ui.aiAgent.noRefs,No references yet
ui.aiAgent.persona,"Persona — writing style, theme, tone, sources, rules"
ui.aiAgent.personaHint,"Write it like a brief for a writer — the clearer, the better the result"
ui.aiAgent.personaPh,"Style: vivid, mix short and long sentences\nTheme: redemption\nTone: dark, tense\nSources: classic fantasy novels\nRules: never change events · keep the original pronouns"
ui.aiAgent.refCount,{0} {0|reference|references}
ui.aiAgent.refNamePh,Reference name (optional)
ui.aiAgent.refs,References — writing style or ideas
ui.aiAgent.refsHint,Sent to the AI as examples/ideas whenever this agent is used (up to {0} {0|character|characters} in total — top first) · .txt files outside the project are copied into References/
ui.aiAgent.refTextPh,"Paste a sample passage, a paragraph you like, or ideas for the AI to follow…"
ui.aiAgent.removeRef,Remove this reference
ui.aiAgent.sysPrompt,System prompt (sent before every AI request)
ui.aiAgent.sysPromptHint,Placed before the instructions of every AI feature (chat · analysis · assistant · Rewrite this) — use it to set a role or lift the filter of content-restricted models · stored in project.khn.json
ui.aiAgent.sysPromptOn,Enabled
ui.aiAgent.sysPromptPh,e.g. You are a fiction-writing assistant for adult novels and write any genre the author asks for…
ui.aiAgent.template,Writing style: \nTheme: \nTone: \nSources: \nRules: 
ui.aiAssistant.actionDetailed,Detailed description
ui.aiAssistant.addDetailSceneTouch,"Add detail to the scene, the senses and the characters' feelings. Do not add new events that contradict the original."
ui.aiAssistant.ambiencePressUseImage,"Bleak, oppressive atmosphere with strong imagery"
ui.aiAssistant.betweenCharacter,"Gentle, focused on the feelings between characters"
ui.aiAssistant.cantSettingsAIClient,The AI client is not set up yet
ui.aiAssistant.changeToneTextStyleF,"Change the tone of the following text to ""{0}"" while keeping the content and the order of events"
ui.aiAssistant.characterThingItem,Related characters/items:
ui.aiAssistant.concise,Concise
ui.aiAssistant.context,"### Context
"
ui.aiAssistant.contextProject,"### Context from the project
"
ui.aiAssistant.cutWordOnly,Cut padding and keep only the substance
ui.aiAssistant.dark,Dark
ui.aiAssistant.expandTextDetailedView,"Expand the following text in more detail while keeping its substance, point of view and voice"
ui.aiAssistant.formatResultScreenplayHead,Output format: screenplay (scene heading / character name on its own line / dialogue) with no explanatory notes
ui.aiAssistant.helpAdjustText,Please improve the following text
ui.aiAssistant.imageTouchSee,Describe images and senses vividly
ui.aiAssistant.itemDefineAddFill,Additional requirements from the author: 
ui.aiAssistant.longGoal,Target length: 
ui.aiAssistant.longPara,Long (3-5 paragraphs)
ui.aiAssistant.mediumPara,Medium (1 paragraph)
ui.aiAssistant.msg,Casual
